index,GHO (CODE),GHO (DISPLAY),GHO (URL),GBDCHILDCAUSES (CODE),GBDCHILDCAUSES (DISPLAY),GBDCHILDCAUSES (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
24,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE096,Parkinson's disease,,,,,0.7,0.67291,,,,,
25,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE097,Epilepsy,,,,,2.2,2.21629,,,,,
26,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE098,Multiple sclerosis,,,,,0.1,0.06191,,,,,
27,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE101,Other neurological conditions,,,,,1.4,1.40351,,,,,
28,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE123,Cirrhosis of the liver,,,,,13.8,13.81802,,,,,
29,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE124,Appendicitis,,,,,0.9,0.93014,,,,,
30,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE125,Other digestive diseases,,,,,11.8,11.80651,,,,,
31,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE126,Genitourinary diseases,,,,,26.3,26.32401,,,,,
32,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE151,Injuries,,,,,59.2,59.17460,,,,,
33,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE152,Unintentional injuries,,,,,30.4,30.38768,,,,,
34,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE153,Road injury,,,,,10.4,10.36261,,,,,
35,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,BTSX,Both sexes,,GHE154,Poisonings,,,,,0.2,0.21159,,,,,
36,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE003,Tuberculosis,,,,,95.0,95.04654,,,,,
37,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE004,STDs excluding HIV,,,,,0.7,0.67294,,,,,
38,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE010,HIV/AIDS,,,,,0.0,0.04645,,,,,
39,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE011,Diarrhoeal diseases,,,,,16.7,16.73295,,,,,
40,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE025,Schistosomiasis,,,,,0.3,0.29382,,,,,
41,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE026,Leishmaniasis,,,,,0.0,0.00000,,,,,
42,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE027,Lymphatic filariasis,,,,,0.0,0.00000,,,,,
43,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE028,Onchocerciasis,,,,,0.0,0.00000,,,,,
44,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE052,Neonatal sepsis and infections,,,,,6.7,6.73160,,,,,
45,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE053,Other neonatal conditions,,,,,1.1,1.14211,,,,,
46,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE054,Nutritional deficiencies,,,,,10.3,10.33537,,,,,
47,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE055,Protein-energy malnutrition,,,,,9.8,9.78378,,,,,
48,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE072,Corpus uteri cancer,,,,,0.0,0.00000,,,,,
49,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE073,Ovary cancer,,,,,0.0,0.00000,,,,,
50,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE074,Prostate cancer,,,,,8.0,8.03512,,,,,
51,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE075,Bladder cancer,,,,,0.9,0.90305,,,,,
52,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE076,"Lymphomas, multiple myeloma",,,,,2.5,2.49336,,,,,
53,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE110,Cardiovascular diseases,,,,,344.4,344.44354,,,,,
54,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE111,Rheumatic heart disease,,,,,7.8,7.76766,,,,,
55,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE112,Hypertensive heart disease,,,,,38.8,38.82196,,,,,
56,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE113,Ischaemic heart disease,,,,,169.9,169.93486,,,,,
57,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE127,Kidney diseases,,,,,25.6,25.55040,,,,,
58,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE128,Hyperplasia of prostate,,,,,0.0,0.00000,,,,,
59,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE129,Urolithiasis,,,,,1.0,0.95930,,,,,
60,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE130,Other genitourinary diseases,,,,,6.4,6.35507,,,,,
61,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE155,Falls,,,,,6.0,5.95180,,,,,
62,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE156,"Fire, heat and hot substances",,,,,1.1,1.05266,,,,,
63,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,MLE,Male,,GHE158,Exposure to forces of nature,,,,,0.0,0.00000,,,,,
64,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE012,Childhood-cluster diseases,,,,,2.9,2.94501,,,,,
65,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE013,Whooping cough,,,,,2.0,2.02310,,,,,
66,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE014,Diphtheria,,,,,0.0,0.02122,,,,,
67,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE015,Measles,,,,,0.4,0.37461,,,,,
68,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE029,Leprosy,,,,,0.0,0.00000,,,,,
69,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE030,Dengue,,,,,1.4,1.37518,,,,,
70,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE031,Trachoma,,,,,0.0,0.00000,,,,,
71,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE032,Rabies,,,,,0.8,0.78873,,,,,
72,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE061,Malignant neoplasms,,,,,77.9,77.94204,,,,,
73,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE062,Mouth and oropharynx cancers,,,,,4.1,4.07765,,,,,
74,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE063,Oesophagus cancer,,,,,0.8,0.78702,,,,,
75,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE076,"Lymphomas, multiple myeloma",,,,,2.1,2.08136,,,,,
76,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE077,Leukaemia,,,,,4.1,4.07670,,,,,
77,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE078,Other malignant neoplasms,,,,,12.6,12.60488,,,,,
78,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE079,Other neoplasms,,,,,4.2,4.20573,,,,,
79,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE080,Diabetes mellitus,,,,,31.1,31.10448,,,,,
80,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE114,Stroke,,,,,84.9,84.93294,,,,,
81,WHS2_131,Age-standardized NCD mortality rate  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/78,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,FMLE,Female,,GHE115,"Cardiomyopathy, myocarditis, endocarditis",,,,,4.9,4.91679,,,,,
