index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),PLACE (CODE),PLACE (DISPLAY),PLACE (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
15,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,GHE113,Ischaemic heart disease,,,,,,,,,,,449 535,449534.87500,,,,,
16,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,GHE000,All Causes,,,,,,,,,,,366 909 [276 926 - 449 216],366909.00000,276926.0,449216.0,,,
17,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,GHE039,Lower respiratory infections,,,,,,,,,,,69 227,69227.27344,,,,,
18,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,GHE114,Stroke,,,,,,,,,,,121 997,121997.19530,,,,,
19,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,WPR,2012,2012,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,GHE113,Ischaemic heart disease,,,,,,,,,,,145 146,145146.31250,,,,,
20,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,10768 [7230–13850],10768.48267,7230.08594,13850.46582,,,
21,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,7761 [5090–10187],7760.64343,5090.44531,10187.09277,,,
22,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,1413 [973–1813],1413.17300,973.21082,1813.09082,,,
23,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,15626 [10384–19995],15626.49312,10384.32715,19994.78125,,,
24,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE000,Total,,39003 [27401–47953],39002.73108,27400.95898,47953.15625,,,
25,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,15 [10–20],15.12793,9.92288,19.85784,,,
26,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,7 [4–9],6.69382,4.12792,8.71447,,,
27,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE000,Total,,76 [53–93],76.02856,53.41307,93.47575,,,
28,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,30 [19–39],29.56045,19.36143,38.8086,,,
29,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,11 [7–14],10.83960,6.68453,14.11172,,,
30,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,8 [5–11],8.37225,5.39272,11.48282,,,
31,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,55 [36–72],54.70629,35.8314,71.82146,,,
32,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,46 [31–58],45.73881,30.97637,58.28289,,,
33,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,509396 [350890–644669],509396.40140,350890.1563,644668.5,,,
34,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,41448 [28544–53177],41447.99097,28544.01758,53177.47266,,,
35,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,291003 [200914–365135],291002.77440,200914.2031,365135.1875,,,
36,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,775 [531–974],774.67810,530.95825,973.95691,,,
37,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,969 [649–1244],968.97186,649.48352,1244.0022,,,
38,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,436 [292–565],435.71744,292.24118,565.48895,,,
39,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE104,Cataracts,,49 [27–68],49.33091,26.6892,68.16407,,,
40,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,112 [76–147],111.98827,75.8948,147.09039,,,
41,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE000,Total,,3211 [2275–3981],3210.60303,2274.59204,3981.38062,,,
42,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,597 [396–787],597.24835,396.00937,786.73419,,,
43,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,606 [134–1039],605.60248,134.47801,1039.27319,,,
44,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE104,Cataracts,,72 [39–100],72.09945,39.00753,99.625,,,
45,AIR_4,Ambient air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,1025 [510–1650],1025.46887,510.01123,1650.34326,,,
46,AIR_4,Ambient air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,879 [437–1414],878.76984,437.0513,1414.25244,,,
47,AIR_4,Ambient air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,1904 [947–3065],1904.23865,947.06256,3064.5957,,,
48,AIR_12,Household air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,2302 [1528–2980],2302.44360,1528.21252,2980.37207,,,
49,AIR_12,Household air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,2687 [1783–3478],2686.80615,1783.32739,3477.90576,,,
50,AIR_12,Household air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,4989 [3312–6458],4989.24951,3311.54004,6458.27734,,,
51,AIR_16,Household air pollution attributable DALYs in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,210002 [139386–271835],210002.26560,139385.875,271835.0625,,,
52,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,12064 [6000–19415],12063.56436,5999.74707,19414.55664,,,
53,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,19109 [15554–22336],19108.80792,15554.12109,22335.56055,,,
54,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,12 [6–19],11.67590,5.80694,18.79066,,,
55,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,12 [6–19],12.01501,5.9756,19.33641,,,
56,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,1 [1–2],1.08490,0.57212,1.72179,,,
57,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,2 [1–2],1.50023,0.79115,2.38095,,,
58,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,4 [2–7],4.03080,1.91099,6.69336,,,
59,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE000,Total,,91 [76–107],90.72456,76.43002,107.0721,,,
60,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,12 [5–19],11.53295,5.46775,19.15108,,,
61,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE000,Total,,45 [38–54],45.31146,37.56232,54.18963,,,
62,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE000,Total,,53 [44–62],52.59345,44.30684,62.07019,,,
63,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,22601 [11919–35869],22600.96368,11918.5918,35868.91406,,,
64,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,324760 [252520–402740],324760.01030,252519.5156,402739.875,,,
65,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,423061 [210407–680856],423061.39450,210407.25,680855.875,,,
66,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,9987 [5266–15849],9986.58972,5266.4165,15849.24023,,,
67,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,765 [637–897],764.98932,637.2392,897.17175,,,
68,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,,,,,,,ENVCAUSE114,Stroke,,321 [252–396],321.15048,251.98366,396.15845,,,
69,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,WPR,2016,2016,Western Pacific,,,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,1032 [858–1219],1031.54614,858.17438,1218.76526,,,
