index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,CCO_2,Human development index rank,,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,PHL,Philippines,,114.0,114.00000,,,,,
11,CCO_3,Gender inequality index rank,,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,PHL,Philippines,,77.0,77.00000,,,,,
12,ITU_IDI_RANK,ICT Development Index (IDI) rank,http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2012,2012,,,,,,2012,2012,,,PHL,Philippines,,98.0,98.00000,,,,,
13,ITU_IDI,ICT Development Index (IDI),http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2012,2012,,,,,,2012,2012,,,PHL,Philippines,,3.336093071,3.33609,,,,,
14,ITU_IDI_RANK,ICT Development Index (IDI) rank,http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2011,2011,,,,,,2011,2011,,,PHL,Philippines,,98.0,98.00000,,,,,
15,ITU_IDI,ICT Development Index (IDI),http://www.itu.int/en/ITU-D/Statistics/Documents/publications/mis2012/MIS2012_without_Annex_4.pdf,PUBLISHED,Published,,2011,2011,,,,,,2011,2011,,,PHL,Philippines,,3.135661173,3.13566,,,,,
16,ITU_ICT_1,Percentage of individuals using the Internet,,PUBLISHED,Published,,2012,2012,,,,,,2012,2012,,,PHL,Philippines,,36.2,36.23510,,,,,Source: ITU estimate.
17,ITU_ICT_2,Mobile-cellular telephone subscriptions per 100 inhabitants,,PUBLISHED,Published,,2012,2012,,,,,,2012,2012,,,PHL,Philippines,,106.5075448,106.50755,,,,,Source: ITU estimate.
18,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2012,2012,,WPR,Western Pacific,,,2012,2012,,,PHL,Philippines,,107.0,107.00000,,,,,
19,WHS10_1,Most recent census (year),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3056,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,2010.0,2010.00000,,,,,
20,WHS10_8,Civil registration coverage of cause-of-death (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/84,PUBLISHED,Published,,1990-1994,1990-1994,,WPR,Western Pacific,,,1990,1994,,,PHL,Philippines,,77.6,77.64000,,,,,
21,WHS10_8,Civil registration coverage of cause-of-death (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/84,PUBLISHED,Published,,1995-1999,1995-1999,,WPR,Western Pacific,,,1995,1999,,,PHL,Philippines,,88.0,88.01000,,,,,
22,WHS10_8,Civil registration coverage of cause-of-death (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/84,PUBLISHED,Published,,2000-2004,2000-2004,,WPR,Western Pacific,,,2000,2004,,,PHL,Philippines,,91.9,91.92000,,,,,
23,WHS10_8,Civil registration coverage of cause-of-death (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/84,PUBLISHED,Published,,2008,2008,,WPR,Western Pacific,,,2008,2008,,,PHL,Philippines,,90.0,89.56253,,,,,
24,WHS9_CS,Cellular subscribers (per 100 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2974,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,WB_LMI,2013,2013,Lower-middle-income,,PHL,Philippines,,105.0,105.00000,,,,,
25,WHS9_CBR,Crude birth rate (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2978,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,WB_LMI,2013,2013,Lower-middle-income,,PHL,Philippines,,24.4,24.40000,,,,,
26,WHS9_CDR,Crude death rate (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/41,PUBLISHED,Published,,2013,2013,,WPR,Western Pacific,,WB_LMI,2013,2013,Lower-middle-income,,PHL,Philippines,,5.9,5.90000,,,,,
27,CCO_2,Human development index rank,,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,2014,2014,,,PHL,Philippines,,115.0,115.00000,,,,,
28,CCO_3,Gender inequality index rank,,PUBLISHED,Published,,2014,2014,,WPR,Western Pacific,,,2014,2014,,,PHL,Philippines,,89.0,89.00000,,,,,
29,WHS10_9,Ill-defined causes in cause-of-death registration (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3057,PUBLISHED,Published,,2011,2011,,WPR,Western Pacific,,,2011,2011,,,PHL,Philippines,,9.0,9.30862,,,,,Source: GHE2016. Quality category: medium.
