index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),DRIVERTYPE (CODE),DRIVERTYPE (DISPLAY),DRIVERTYPE (URL),MOTOCYCLEOCCUPANTTYPE (CODE),MOTOCYCLEOCCUPANTTYPE (DISPLAY),MOTOCYCLEOCCUPANTTYPE (URL),ROADUSERTYPE (CODE),ROADUSERTYPE (DISPLAY),ROADUSERTYPE (URL),SEATTYPE (CODE),SEATTYPE (DISPLAY),SEATTYPE (URL),VEHICLESTANDARD (CODE),VEHICLESTANDARD (DISPLAY),VEHICLESTANDARD (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
53,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,RS-DDC-REARSEAT,Rear seat,,,,,,,,,,,
54,RS_212,Seat-belt wearing rate (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/212,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,RS-DDC-ALLOCCUPANTS,All occupants,,,,,,,,,,,
55,RS_213,Existence of a national child-restraint law,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/213,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,
56,RS_214,Existence of national speed limits,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/214,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
57,RS_217,Maximum speed limits,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/217,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,URB,Urban,,,,,,,,,,,,,,,,,40,,,,,,
58,RS_217,Maximum speed limits,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/217,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,RUR,Rural,,,,,,,,,,,,,,,,,80,,,,,,
59,RS_223_BIS,Law requires helmet to be fastened,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4651,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,
60,RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/219,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,RS-DDC-DRIVERS,Drivers,,,,,,,,,,,Yes,,,,,,
61,RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/219,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,RS-DDC-ADULT-PASSAGER,Adult passengers,,,,,,,,,,,Yes,,,,,,
62,RS_219,Applicability of national motorcycle helmet law to all occupants,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/219,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,RS-DDC-CHILD-PASSAGER,Child passengers,,,,,,,,,,,Not restricted,,,,,,"Restrictions for children to ride as passengers on motorcycles are only set for some types of roads (where there is heavy volume of vehicles, a high density of fast moving vehicles or a speed limit of more that 60km/h). on these roads conditons for children to be allowed to ride as passengers are follows: child’s feet can reach the foot peg of the motorcycle, child’s arm can reach and grasp the waist of the driver and child is wearing a standard protective helmet"
63,RS_204,Existence of a national drink-driving law,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/204,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
64,RS_205,Definition of drink-driving by BAC,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/205,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
65,RS_208,Attribution of road traffic deaths to alcohol (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/208,,,,PUBLISHED,Published,,2017,2017,,WPR,2017,2017,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,–,,,,,,
66,RS_225,Existence of a road safety lead agency,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/225,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
67,RS_228,Existence of a national road safety strategy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/228,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,
68,RS_229,Availability of funding for national road safety strategy,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/229,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,Fully funded,,,,,,
69,RS_238,Existence of a universal access telephone number for pre-hospital care,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/238,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,"National, single number",,,,,,
70,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_SEAT_BELTS,Seat-belts,,No,,,,,,
71,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_SEAT_BELTS_ANCHORAGES,Seat-belt anchorages,,No,,,,,,
72,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_FRONTAL_IMPACT,Frontal impact,,No,,,,,,
73,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_SIDE_IMPACT,Side impact,,No,,,,,,
74,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_ESC,Electronic stability control,,No,,,,,,
75,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_PEDESTRIANPROTECTION,Pedestrian protection,,No,,,,,,
76,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_CHILD_SEATS,Child seats,,No,,,,,,
77,RS_242,Vehicle standards,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4652,,,,PUBLISHED,Published,,2016,2016,,WPR,2016,2016,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,,,,,,,RS_VS_MOTORCYCLE,Motorcycle,,No,,,,,,
