index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
20,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983.0,1983,,WPR,Western Pacific,,PHL,1983,1983,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.1-5.3],4.70000,4.1,5.3,,,
21,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984.0,1984,,WPR,Western Pacific,,PHL,1984,1984,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.1-5.3],4.70000,4.1,5.3,,,
22,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.2-5.2],4.70000,4.2,5.2,,,
23,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1986.0,1986,,WPR,Western Pacific,,PHL,1986,1986,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.2-5.2],4.70000,4.2,5.2,,,
24,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
25,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
26,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
27,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2003.0,2003,,WPR,Western Pacific,,PHL,2003,2003,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
28,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1980.0,1980,,WPR,Western Pacific,,PHL,1980,1980,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.7 [3.8-5.6],4.70000,3.8,5.6,,,
29,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1981.0,1981,,WPR,Western Pacific,,PHL,1981,1981,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.7 [3.9-5.5],4.70000,3.9,5.5,,,
30,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1994.0,1994,,WPR,Western Pacific,,PHL,1994,1994,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.7 [4.2-5.2],4.70000,4.2,5.2,,,
31,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1995.0,1995,,WPR,Western Pacific,,PHL,1995,1995,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.7 [4.2-5.2],4.70000,4.2,5.2,,,
32,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1996.0,1996,,WPR,Western Pacific,,PHL,1996,1996,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.7 [4.3-5.2],4.70000,4.3,5.2,,,
33,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1997.0,1997,,WPR,Western Pacific,,PHL,1997,1997,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.7 [4.3-5.2],4.70000,4.3,5.2,,,
34,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1982.0,1982,,WPR,Western Pacific,,PHL,1982,1982,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.1-5.4],4.80000,4.1,5.4,,,
35,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983.0,1983,,WPR,Western Pacific,,PHL,1983,1983,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.8 [4.1-5.4],4.80000,4.1,5.4,,,
36,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984.0,1984,,WPR,Western Pacific,,PHL,1984,1984,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.1-5.3],4.70000,4.1,5.3,,,
37,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.2-5.3],4.70000,4.2,5.3,,,
38,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1998.0,1998,,WPR,Western Pacific,,PHL,1998,1998,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.3-5.0],4.70000,4.3,5.0,,,
39,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,PHL,1999,1999,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.3-5.0],4.70000,4.3,5.0,,,
40,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
41,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.7 [4.4-5.0],4.70000,4.4,5.0,,,
42,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1982.0,1982,,WPR,Western Pacific,,PHL,1982,1982,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.0-5.5],4.80000,4.0,5.5,,,
43,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1983.0,1983,,WPR,Western Pacific,,PHL,1983,1983,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.1-5.5],4.80000,4.1,5.5,,,
44,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1984.0,1984,,WPR,Western Pacific,,PHL,1984,1984,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.1-5.4],4.80000,4.1,5.4,,,
45,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.1-5.4],4.80000,4.1,5.4,,,
46,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,PHL,1999,1999,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.4-5.2],4.80000,4.4,5.2,,,
47,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.4-5.2],4.80000,4.4,5.2,,,
48,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.8 [4.5-5.2],4.80000,4.5,5.2,,,
49,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.9 [4.5-5.2],4.90000,4.5,5.2,,,
50,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981.0,1981,,WPR,Western Pacific,,PHL,1981,1981,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.0 [4.1-5.9],5.00000,4.1,5.9,,,
51,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982.0,1982,,WPR,Western Pacific,,PHL,1982,1982,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.0 [4.2-5.8],5.00000,4.2,5.8,,,
52,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983.0,1983,,WPR,Western Pacific,,PHL,1983,1983,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.0 [4.3-5.8],5.00000,4.3,5.8,,,
53,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984.0,1984,,WPR,Western Pacific,,PHL,1984,1984,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.0 [4.3-5.7],5.00000,4.3,5.7,,,
54,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1997.0,1997,,WPR,Western Pacific,,PHL,1997,1997,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.7-5.5],5.10000,4.7,5.5,,,
55,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998.0,1998,,WPR,Western Pacific,,PHL,1998,1998,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.7-5.4],5.10000,4.7,5.4,,,
56,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,PHL,1999,1999,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.8-5.4],5.10000,4.8,5.4,,,
57,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000.0,2000,,WPR,Western Pacific,,PHL,2000,2000,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.8-5.4],5.10000,4.8,5.4,,,
58,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.8-5.4],5.10000,4.8,5.4,,,
59,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1980.0,1980,,WPR,Western Pacific,,PHL,1980,1980,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.3-6.1],5.20000,4.3,6.1,,,
60,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981.0,1981,,WPR,Western Pacific,,PHL,1981,1981,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.3-6.1],5.20000,4.3,6.1,,,
61,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982.0,1982,,WPR,Western Pacific,,PHL,1982,1982,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.4-6.0],5.20000,4.4,6.0,,,
62,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1996.0,1996,,WPR,Western Pacific,,PHL,1996,1996,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.9-5.6],5.20000,4.9,5.6,,,
63,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1997.0,1997,,WPR,Western Pacific,,PHL,1997,1997,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.9-5.6],5.20000,4.9,5.6,,,
64,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998.0,1998,,WPR,Western Pacific,,PHL,1998,1998,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.9-5.6],5.20000,4.9,5.6,,,
65,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999.0,1999,,WPR,Western Pacific,,PHL,1999,1999,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.2 [4.9-5.6],5.20000,4.9,5.6,,,
66,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.7 [117.2-129.7],123.70000,117.2,129.7,,,
67,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986.0,1986,,WPR,Western Pacific,,PHL,1986,1986,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.4 [117.2-129.3],123.40000,117.2,129.3,,,
68,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987.0,1987,,WPR,Western Pacific,,PHL,1987,1987,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.3 [117.2-129.1],123.30000,117.2,129.1,,,
69,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988.0,1988,,WPR,Western Pacific,,PHL,1988,1988,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,123.2 [117.1-129.0],123.20000,117.1,129.0,,,
70,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2001.0,2001,,WPR,Western Pacific,,PHL,2001,2001,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.0 [119.4-128.5],124.00000,119.4,128.5,,,
71,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002.0,2002,,WPR,Western Pacific,,PHL,2002,2002,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.2 [119.9-128.6],124.20000,119.9,128.6,,,
72,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003.0,2003,,WPR,Western Pacific,,PHL,2003,2003,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.4 [120.2-128.6],124.40000,120.2,128.6,,,
73,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004.0,2004,,WPR,Western Pacific,,PHL,2004,2004,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.6 [120.5-128.8],124.60000,120.5,128.8,,,
74,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005.0,2005,,WPR,Western Pacific,,PHL,2005,2005,Philippines,,AGE25-PLUS,25+ years,,MLE,Male,,,,,124.8 [120.7-129.0],124.80000,120.7,129.0,,,
75,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1983.0,1983,,WPR,Western Pacific,,PHL,1983,1983,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,119.3 [111.7-126.9],119.30000,111.7,126.9,,,
76,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1984.0,1984,,WPR,Western Pacific,,PHL,1984,1984,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,119.2 [112.2-126.4],119.20000,112.2,126.4,,,
77,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1985.0,1985,,WPR,Western Pacific,,PHL,1985,1985,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,119.2 [112.4-125.8],119.20000,112.4,125.8,,,
78,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986.0,1986,,WPR,Western Pacific,,PHL,1986,1986,Philippines,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,119.1 [112.5-125.5],119.10000,112.5,125.5,,,
