index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
20,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,YEARS6-11,6-11 years,,,,,,,,,,,,,,64.2,0.64245,,,,,
21,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,YEARS6-11,6-11 years,,,,,,,,,,,,,,68.2,0.68184,,,,,
22,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,RUR,Rural,,,,,20.6,0.20600,,,,,
23,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,RUR,Rural,,,,,31.1,0.31122,,,,,
24,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,RUR,Rural,,,,,37.1,0.37131,,,,,
25,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,RUR,Rural,,,,,29.1,0.29050,,,,,
26,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,35.3,0.35269,,,,,
27,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,URB,Urban,,,,,53.6,0.53626,,,,,
28,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,URB,Urban,,,,,65.9,0.65909,,,,,
29,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,45.8,0.45819,,,,,
30,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,52.8,0.52773,,,,,
31,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,35.3,0.35307,,,,,
32,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ3,Q3,,49.7,0.49678,,,,,
33,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ3,Q3,,62.4,0.62419,,,,,
34,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ3,Q3,,70.7,0.70653,,,,,
35,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ4,Q4,,70.6,0.70620,,,,,
36,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ4,Q4,,75.5,0.75518,,,,,
37,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ4,Q4,,44.6,0.44618,,,,,
38,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ5,Q5 (Richest),,74.6,0.74584,,,,,
39,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ5,Q5 (Richest),,84.2,0.84244,,,,,
40,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,YEARS0-5,0-5  years,,,,,,,,,,,,,,36.8,0.36815,,,,,
41,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,YEARS0-5,0-5  years,,,,,,,,,,,,,,49.3,0.49265,,,,,
42,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,YEARS0-5,0-5  years,,,,,,,,,,,,,,58.2,0.58175,,,,,
43,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,YEARS0-5,0-5  years,,,,,,,,,,,,,,38.6,0.38580,,,,,
44,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,YEARS12+,12+  years,,,,,,,,,,,,,,69.4,0.69422,,,,,
45,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,YEARS12+,12+  years,,,,,,,,,,,,,,75.6,0.75565,,,,,
46,EQ_WATERPIPED,Households using a piped drinking-water source (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4443,,,,PUBLISHED,Published,,2008.0,2008,,WPR,2008,2008,Western Pacific,,PHL,Philippines,,YEARS6-11,6-11 years,,,,,,,,,,,,,,46.0,0.45989,,,,,
47,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1950.0,1950,,WPR,1950,1950,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,27.1,27.13500,,,,,
48,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1960.0,1960,,WPR,1960,1960,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,30.3,30.29700,,,,,
49,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1970.0,1970,,WPR,1970,1970,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,33.0,32.97900,,,,,
50,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1980.0,1980,,WPR,1980,1980,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,37.5,37.48100,,,,,
51,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1990.0,1990,,WPR,1990,1990,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,48.6,48.59000,,,,,
52,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2000.0,2000,,WPR,2000,2000,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,48.0,47.95500,,,,,
53,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2010.0,2010,,WPR,2010,2010,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,45.3,45.25500,,,,,
54,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2020.0,2020,,WPR,2020,2020,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,44.3,44.26000,,,,,
55,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2030.0,2030,,WPR,2030,2030,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,46.3,46.33900,,,,,
56,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2040.0,2040,,WPR,2040,2040,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,51.1,51.09900,,,,,
57,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2050.0,2050,,WPR,2050,2050,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,56.3,56.25100,,,,,
58,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,52.2,52.20000,,,,,
59,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,URB,Urban,,,,,37.3,37.30000,,,,,
60,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,RUR,Rural,,,,,74.2,74.20000,,,,,
61,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,109.1,109.10000,,,,,
62,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ2,Q2,,57.5,57.50000,,,,,
63,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ3,Q3,,41.9,41.90000,,,,,
64,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ4,Q4,,20.0,20.00000,,,,,
65,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993.0,1993,,WPR,1993,1993,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ5,Q5 (Richest),,11.5,11.50000,,,,,
66,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,50.0,50.00000,,,,,
67,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,URB,Urban,,,,,35.4,35.40000,,,,,
68,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,RUR,Rural,,,,,72.3,72.30000,,,,,
69,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,90.2,90.20000,,,,,
70,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ2,Q2,,43.5,43.50000,,,,,
71,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ3,Q3,,39.8,39.80000,,,,,
72,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ4,Q4,,20.0,20.00000,,,,,
73,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1998.0,1998,,WPR,1998,1998,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ5,Q5 (Richest),,11.4,11.40000,,,,,
74,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,,,,55.0,55.00000,,,,,
75,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,URB,Urban,,,,,41.2,41.20000,,,,,
76,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,RUR,Rural,,,,,79.4,79.40000,,,,,
77,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,86.7,86.70000,,,,,
78,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ2,Q2,,43.6,43.60000,,,,,
79,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ3,Q3,,31.0,31.00000,,,,,
80,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ4,Q4,,27.9,27.90000,,,,,
81,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,WPR,2003,2003,Western Pacific,,PHL,Philippines,,,,,,,,,,,,,,WQ5,Q5 (Richest),,16.0,16.00000,,,,,
