index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
11,TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
12,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,...,,,,,,
13,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,...,,,,,,
14,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,...,,,,,,
15,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,17.5,,,,,,
16,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,23.4,,,,,,
17,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,12,,,,,,
18,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,53.1,,,,,,
19,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,54.5,,,,,,
20,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,55.7,,,,,,
21,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,62.8,,,,,,
22,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,64.8,,,,,,
23,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,67.2,,,,,,
24,TOBACCO_0000000386,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,15,,,,,,
25,TOBACCO_0000000387,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,30,,,,,,
26,TOBACCO_0000000388,Specific health warnings are mandated for other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
27,TOBACCO_0000000389,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,4,,,,,,
28,TOBACCO_0000000390,Health warnings on other smoked tobacco packaging must be rotated,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
29,TOBACCO_0000000391,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,0,,,,,,
30,TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
31,TOBACCO_0000000393,Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
32,TOBACCO_0000000394,"Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging",,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
33,TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
34,TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
35,TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,2007,,,,,,
36,TOBACCO_0000000506,Representativeness of youth survey,,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,National,,,,,,
37,TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,3,,,,,,
38,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,23.4,,,,,,
39,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,55.7,,,,,,
40,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,67.2,,,,,,
41,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,12,,,,,,
42,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,53.1,,,,,,
43,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,62.8,,,,,,
44,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,17.5,,,,,,
45,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,54.5,,,,,,
46,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,64.8,,,,,,
47,TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,2007,,,,,,
48,TOBACCO_0000000506,Representativeness of youth survey,,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,National,,,,,,
49,TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,3,,,,,,
50,TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
51,TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
52,TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes in some,,,,,,
53,TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes in some,,,,,,
54,TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes in some,,,,,,
55,TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
56,TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes in some,,,,,,
57,TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes in some,,,,,,
58,TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
59,TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
60,TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,. . .,,,,,,
61,TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,. . .,,,,,,
62,TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
63,TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
64,TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
65,TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,In a pharmacy with a prescription,,,,,,
66,TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
67,TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
68,TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,-,,,,,,
69,TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,-,,,,,,
70,TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
71,TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,No,,,,,,
72,TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,-,,,,,,
73,TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,-,,,,,,
74,TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
75,TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
76,TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
77,TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
78,TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
79,TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
80,TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
81,TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
82,TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,,,,PUBLISHED,Published,,2008,2008,,WPR,2008,2008,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
83,TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,,,,PUBLISHED,Published,,2010,2010,,WPR,2010,2010,Western Pacific,,,,,PHL,Philippines,,,,,,,,,,,Yes,,,,,,
84,SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,,,,PUBLISHED,Published,,2003,2003,,WPR,2003,2003,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,30.5,30.50000,,,,,
85,SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,,,,PUBLISHED,Published,,2003,2003,,WPR,2003,2003,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,50.1,50.10000,,,,,
86,SA_0000001410,"Abstainers (15-19 years), lifetime (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2323,,,,PUBLISHED,Published,,2003,2003,,WPR,2003,2003,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,69.7,69.70000,,,,,
87,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,596,596.00000,,,,,
88,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,1082,1082.00000,,,,,
89,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,114,114.00000,,,,,
90,SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,290,290.00000,,,,,
91,SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,148,148.00000,,,,,
92,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,99,99.00000,,,,,
93,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,85,85.00000,,,,,
94,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,114,114.00000,,,,,
95,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,FMLE,Female,,,,,,,,568,568.00000,,,,,
96,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,BTSX,Both sexes,,,,,,,,555,555.00000,,,,,
97,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,538,538.00000,,,,,
98,SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,,,,PUBLISHED,Published,,2004,2004,,WPR,2004,2004,Western Pacific,,,,,PHL,Philippines,,MLE,Male,,,,,,,,163,163.00000,,,,,
