index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
69,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,58.3,58.30965,,,,,
70,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,59.2,59.23199,,,,,
71,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,MLE,Male,,,,,,,,59.4,59.37307,,,,,
72,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,61.7,61.68084,,,,,
73,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,62.2,62.17218,,,,,
74,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,63.2,63.15944,,,,,
75,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,64.0,64.04628,,,,,
76,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,FMLE,Female,,,,,,,,64.2,64.21228,,,,,
77,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2000,2000,,WPR,Western Pacific,,,2000,2000,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,59.2,59.20400,,,,,
78,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2005,2005,,WPR,Western Pacific,,,2005,2005,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,59.6,59.58570,,,,,
79,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2010,2010,,WPR,Western Pacific,,,2010,2010,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,60.6,60.64704,,,,,
80,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2015,2015,,WPR,Western Pacific,,,2015,2015,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,61.6,61.55522,,,,,
81,WHOSIS_000002,Healthy life expectancy (HALE) at birth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/66,PUBLISHED,Published,,2016,2016,,WPR,Western Pacific,,,2016,2016,,,PHL,Philippines,,,,,BTSX,Both sexes,,,,,,,,61.7,61.70860,,,,,
